Wed Jun  1 19:58:27 2022    hell/764cff94-cb38-4084-930a-38b345d600cf.prof

         44865 function calls (44427 primitive calls) in 0.714 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       83    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/events.py:39(__init__)
1129/1123    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:343(raw_decode)
        6    0.000    0.000    0.140    0.023 /opt/python/urllib3/connectionpool.py:356(_make_request)
    72/54    0.000    0.000    0.016    0.000 /var/lang/lib/python3.7/unittest/mock.py:594(__getattr__)
      402    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2040(__new__)
       10    0.000    0.000    0.006    0.001 /opt/python/pynamodb/models.py:864(_get_indexes)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:421(format)
        6    0.000    0.000    0.144    0.024 /opt/python/botocore/httpsession.py:306(send)
        6    0.000    0.000    0.089    0.015 /var/lang/lib/python3.7/http/client.py:279(_read_status)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/hmac.py:33(__init__)
  543/539    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:61(__init__)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1446(findCaller)
     1050    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/_collections_abc.py:824(update)
      102    0.000    0.000    0.437    0.004 /var/lang/lib/python3.7/asyncio/events.py:86(_run)
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:602(get_shape_by_name)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:360(getMessage)
        4    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1080(_serialize)
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/auth.py:238(canonical_headers)
    83/82    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      132    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:393(__setitem__)
     90/6    0.000    0.000    0.001    0.000 /opt/python/botocore/serialize.py:359(_serialize)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/poolmanager.py:74(_default_key_normalizer)
       36    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/logging/__init__.py:1570(callHandlers)
        7    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:837(_get_schema)
       67    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:710(_call_soon)
       36    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
       30    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:994(__init__)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:471(_parse_headers)
      226    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/re.py:315(filter)
       36    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:595(format)
       24    0.000    0.000    0.016    0.001 /var/lang/lib/python3.7/unittest/mock.py:1900(__init__)
      507    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:56(attr_name)
       24    0.000    0.000    0.000    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
        6    0.000    0.000    0.091    0.015 /var/lang/lib/python3.7/http/client.py:312(begin)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1081(putrequest)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:1283(_send_request)
      164    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       72    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:64(__set__)
      886    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       55    0.000    0.000    0.089    0.002 {method 'readline' of '_io.BufferedReader' objects}
      306    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/_policybase.py:311(header_fetch_parse)
       13    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      234    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:581(__init__)
  516/486    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       73    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:557(_process_events)
        7    0.000    0.000    0.004    0.001 /opt/python/pynamodb_patch.py:182(_get_connection)
       36    0.000    0.000    0.005    0.000 /var/lang/lib/python3.7/logging/__init__.py:1491(_log)
        1    0.000    0.000    0.713    0.713 /var/task/main_v1.py:25(handle)
       36    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/message.py:459(<listcomp>)
       78    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:607(__getitem__)
       36    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        6    0.000    0.000    0.002    0.000 /opt/python/botocore/serialize.py:334(serialize_to_request)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/feedparser.py:218(_parsegen)
        1    0.000    0.000    0.544    0.544 /opt/python/rewards/reward_redeemer.py:243(redeem_rewards_for_player)
       42    0.000    0.000    0.001    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_reqrep.py:609(send)
        6    0.000    0.000    0.175    0.029 /opt/python/pynamodb/connection/base.py:323(dispatch)
        3    0.000    0.000    0.521    0.174 /var/lang/lib/python3.7/asyncio/base_events.py:528(run_forever)
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/encoder.py:182(encode)
       79    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/_collections_abc.py:657(get)
       26    0.000    0.000    0.007    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:810(_read_ready__data_received)
       72    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       79    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1614(isEnabledFor)
        3    0.000    0.000    0.001    0.000 /opt/python/pyasn1/codec/ber/decoder.py:495(_decodeComponents)
        6    0.000    0.000    0.017    0.003 /opt/python/yarl/_url.py:145(__new__)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:221(makefile)
      276    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/utils.py:51(_has_surrogates)
       41    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/logging/__init__.py:881(handle)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/util/url.py:330(parse_url)
       77    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:736(filter)
        6    0.000    0.000    0.004    0.001 /opt/python/botocore/auth.py:355(add_auth)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f3109ed6d40}
       75    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:397(create_task)
     25/6    0.000    0.000    0.001    0.000 /opt/python/botocore/serialize.py:364(_serialize_type_structure)
       12    0.000    0.000    0.042    0.004 /opt/python/aiohttp/connector.py:977(_create_direct_connection)
       12    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:172(headers_to_sign)
       90    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:415(_remove_unsafe_bytes_from_url)
      286    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:80(_is_map_attribute_class_object)
       80    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1111(_serialize_value)
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:1672(_add_callback)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:225(parse_headers)
       38    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/os.py:676(__getitem__)
       51    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:193(_hostinfo)
       11    0.000    0.000    0.003    0.000 /opt/python/pynamodb/indexes.py:134(_get_schema)
       24    0.000    0.000    0.006    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:520(data_received)
       18    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:210(_encode_invalid_chars)
       54    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/unittest/mock.py:1012(__call__)
       54    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:462(get)
      452    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        6    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:880(start)
       25    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_proto.py:190(data_received)
    20/16    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:28(serialize)
       72    0.000    0.000    0.001    0.000 /var/runtime/bootstrap.py:256(write)
       12    0.000    0.000    0.043    0.004 /opt/python/aiohttp/connector.py:485(connect)
       10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:232(__init__)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:120(__init__)
      166    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      422    0.000    0.000    0.000    0.000 /opt/python/pynamodb/models.py:876(<lambda>)
      104    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      111    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:618(resolve_shape_ref)
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        6    0.000    0.000    0.002    0.000 /opt/python/botocore/auth.py:299(canonical_request)
       28    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:303(<listcomp>)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1286(__enter__)
       16    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/queue.py:121(put)
       63    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:112(_coerce_args)
       28    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/typing.py:814(__new__)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:661(_process_write_backlog)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/response.py:193(__init__)
