Wed Jun  1 19:58:25 2022    hell/14704d94-cd00-47a4-b0db-183a60192de1.prof

         45158 function calls (44720 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.142    0.024 /opt/python/urllib3/connectionpool.py:499(urlopen)
       13    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
      103    0.000    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
       31    0.000    0.000    0.000    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
1150/1144    0.000    0.000    0.000    0.000 {built-in method builtins.len}
    72/54    0.000    0.000    0.020    0.000 /var/lang/lib/python3.7/unittest/mock.py:594(__getattr__)
       54    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1237(putheader)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1446(findCaller)
        5    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:497(from_raw_data)
       18    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/_collections_abc.py:824(update)
      306    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:281(_sanitize_header)
        6    0.000    0.000    0.153    0.026 /opt/python/botocore/httpsession.py:306(send)
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2040(__new__)
      402    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.140    0.023 /opt/python/urllib3/connectionpool.py:356(_make_request)
       10    0.000    0.000    0.006    0.001 /opt/python/pynamodb/models.py:864(_get_indexes)
    85/84    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.071    0.012 /var/lang/lib/python3.7/http/client.py:279(_read_status)
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:61(__init__)
       86    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/events.py:39(__init__)
       55    0.000    0.000    0.071    0.001 {method 'readline' of '_io.BufferedReader' objects}
      112    0.000    0.000    0.452    0.004 /var/lang/lib/python3.7/asyncio/events.py:86(_run)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:421(format)
       41    0.000    0.000    0.011    0.000 /var/lang/lib/python3.7/logging/__init__.py:881(handle)
     1059    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:360(getMessage)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/hmac.py:33(__init__)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:343(raw_decode)
       26    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      132    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:393(__setitem__)
        4    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1080(_serialize)
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:602(get_shape_by_name)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1081(putrequest)
       36    0.000    0.000    0.011    0.000 /var/lang/lib/python3.7/logging/__init__.py:1570(callHandlers)
       36    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
        3    0.000    0.000    0.006    0.002 /opt/python/aiohttp/client_reqrep.py:1045(get_encoding)
       36    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:595(format)
        7    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:837(_get_schema)
        3    0.000    0.000    0.000    0.000 {function socket.close at 0x7fb0efdd8d40}
  516/486    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      886    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       80    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:557(_process_events)
        6    0.000    0.000    0.002    0.000 /opt/python/botocore/serialize.py:334(serialize_to_request)
       42    0.000    0.000    0.009    0.000 {built-in method builtins.print}
       13    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/auth.py:238(canonical_headers)
        6    0.000    0.000    0.073    0.012 /var/lang/lib/python3.7/http/client.py:312(begin)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:1283(_send_request)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/poolmanager.py:74(_default_key_normalizer)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:471(_parse_headers)
       36    0.000    0.000    0.013    0.000 /var/lang/lib/python3.7/logging/__init__.py:1491(_log)
       70    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:710(_call_soon)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:221(makefile)
        3    0.000    0.000    0.001    0.000 /opt/python/aiohttp/streams.py:175(feed_eof)
      507    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:56(attr_name)
        7    0.000    0.000    0.006    0.001 /opt/python/pynamodb_patch.py:182(_get_connection)
      234    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:581(__init__)
      226    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/re.py:315(filter)
       24    0.000    0.000    0.004    0.000 /var/lang/lib/python3.7/unittest/mock.py:1900(__init__)
       36    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       30    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:994(__init__)
       34    0.000    0.000    0.007    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:810(_read_ready__data_received)
      164    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/feedparser.py:218(_parsegen)
       75    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       78    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:607(__getitem__)
     90/6    0.000    0.000    0.001    0.000 /opt/python/botocore/serialize.py:359(_serialize)
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2072(__init__)
       72    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:64(__set__)
      306    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/_policybase.py:311(header_fetch_parse)
     25/6    0.000    0.000    0.001    0.000 /opt/python/botocore/serialize.py:364(_serialize_type_structure)
        1    0.000    0.000    0.775    0.775 /var/task/main_v1.py:25(handle)
       79    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/_collections_abc.py:657(get)
       72    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       79    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1614(isEnabledFor)
        3    0.000    0.000    0.524    0.175 /var/lang/lib/python3.7/asyncio/base_events.py:528(run_forever)
       36    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/message.py:459(<listcomp>)
       18    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:210(_encode_invalid_chars)
        3    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_reqrep.py:609(send)
       80    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1111(_serialize_value)
       43    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:1672(_add_callback)
       66    0.000    0.000    0.000    0.000 /opt/python/urllib3/_collections.py:155(__getitem__)
       12    0.000    0.000    0.042    0.004 /opt/python/aiohttp/connector.py:977(_create_direct_connection)
       38    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/os.py:676(__getitem__)
        6    0.000    0.000    0.213    0.036 /opt/python/pynamodb/connection/base.py:323(dispatch)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:397(create_task)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/util/url.py:330(parse_url)
      286    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:80(_is_map_attribute_class_object)
      276    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/utils.py:51(_has_surrogates)
       72    0.000    0.000    0.009    0.000 /var/runtime/bootstrap.py:256(write)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1286(__enter__)
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/encoder.py:182(encode)
        6    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:933(_fast_parse_utc_datestring)
       54    0.000    0.000    0.007    0.000 /var/lang/lib/python3.7/unittest/mock.py:1012(__call__)
        6    0.000    0.000    0.004    0.001 /opt/python/botocore/auth.py:355(add_auth)
       51    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:193(_hostinfo)
       59    0.000    0.000    0.006    0.000 /var/lang/lib/python3.7/logging/__init__.py:1356(debug)
       31    0.000    0.000    0.006    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:520(data_received)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/genericpath.py:121(_splitext)
      118    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      422    0.000    0.000    0.000    0.000 /opt/python/pynamodb/models.py:876(<lambda>)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:225(parse_headers)
      111    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:618(resolve_shape_ref)
       63    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:112(_coerce_args)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:661(_process_write_backlog)
      121    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:634(time)
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       12    0.000    0.000    0.043    0.004 /opt/python/aiohttp/connector.py:485(connect)
       77    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:736(filter)
       12    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:172(headers_to_sign)
        3    0.000    0.000    0.001    0.000 /opt/python/pyasn1/codec/ber/decoder.py:495(_decodeComponents)
