Wed Jun  1 19:58:32 2022    hell/eb6c5c60-4e2f-428a-8abe-22e1f3a6654b.prof

         45141 function calls (44703 primitive calls) in 0.751 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1237(putheader)
        5    0.000    0.000    0.011    0.002 /opt/python/pynamodb/models.py:497(from_raw_data)
       13    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
    83/82    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    72/54    0.000    0.000    0.004    0.000 /var/lang/lib/python3.7/unittest/mock.py:594(__getattr__)
       28    0.000    0.000    0.000    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
      402    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.102    0.017 /opt/python/urllib3/connectionpool.py:356(_make_request)
       85    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/events.py:39(__init__)
       18    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/_collections_abc.py:824(update)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1446(findCaller)
       29    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:393(create_future)
       10    0.000    0.000    0.006    0.001 /opt/python/pynamodb/models.py:864(_get_indexes)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/hmac.py:33(__init__)
        6    0.000    0.000    0.116    0.019 /opt/python/botocore/httpsession.py:306(send)
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2040(__new__)
        6    0.000    0.000    0.055    0.009 /var/lang/lib/python3.7/http/client.py:279(_read_status)
      306    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:281(_sanitize_header)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fc6b017dd40}
      132    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:393(__setitem__)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:360(getMessage)
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:61(__init__)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:421(format)
      306    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/_policybase.py:311(header_fetch_parse)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:343(raw_decode)
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:602(get_shape_by_name)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1081(putrequest)
      164    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1080(_serialize)
       83    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:557(_process_events)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:221(makefile)
       36    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
      160    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      226    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/re.py:315(filter)
     90/6    0.000    0.000    0.001    0.000 /opt/python/botocore/serialize.py:359(_serialize)
       72    0.000    0.000    0.010    0.000 /opt/python/pynamodb/attributes.py:64(__set__)
  516/486    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        6    0.000    0.000    0.057    0.010 /var/lang/lib/python3.7/http/client.py:312(begin)
       78    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:607(__getitem__)
       24    0.000    0.000    0.004    0.000 /var/lang/lib/python3.7/unittest/mock.py:1900(__init__)
       36    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:595(format)
        7    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:837(_get_schema)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:1283(_send_request)
       36    0.000    0.000    0.005    0.000 /var/lang/lib/python3.7/logging/__init__.py:1491(_log)
       36    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/logging/__init__.py:1570(callHandlers)
      886    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1055    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       30    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:994(__init__)
       69    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:710(_call_soon)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/feedparser.py:218(_parsegen)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/poolmanager.py:74(_default_key_normalizer)
        3    0.000    0.000    0.554    0.185 /var/lang/lib/python3.7/asyncio/base_events.py:528(run_forever)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:471(_parse_headers)
       36    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/message.py:459(<listcomp>)
       47    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/enum.py:289(__call__)
       55    0.000    0.000    0.055    0.001 {method 'readline' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/auth.py:238(canonical_headers)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1286(__enter__)
        7    0.000    0.000    0.005    0.001 /opt/python/pynamodb_patch.py:182(_get_connection)
       13    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       30    0.000    0.000    0.007    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:810(_read_ready__data_received)
       42    0.000    0.000    0.001    0.000 {built-in method builtins.print}
      507    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:56(attr_name)
       12    0.000    0.000    0.058    0.005 /opt/python/aiohttp/connector.py:977(_create_direct_connection)
       38    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/os.py:676(__getitem__)
       79    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/_collections_abc.py:657(get)
        6    0.000    0.000    0.168    0.028 /opt/python/pynamodb/connection/base.py:323(dispatch)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:397(create_task)
       69    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:681(call_soon)
        3    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_reqrep.py:609(send)
       28    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/typing.py:814(__new__)
       36    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        1    0.000    0.000    0.575    0.575 /opt/python/rewards/reward_redeemer.py:243(redeem_rewards_for_player)
       80    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1111(_serialize_value)
       72    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        6    0.000    0.000    0.002    0.000 /opt/python/botocore/serialize.py:334(serialize_to_request)
        1    0.000    0.000    0.749    0.749 /var/task/main_v1.py:25(handle)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/util/url.py:330(parse_url)
       75    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:144(basename)
       79    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1614(isEnabledFor)
      234    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:581(__init__)
       54    0.000    0.000    0.020    0.000 /var/lang/lib/python3.7/unittest/mock.py:1012(__call__)
      286    0.000    0.000    0.010    0.000 /opt/python/pynamodb/attributes.py:80(_is_map_attribute_class_object)
        6    0.000    0.000    0.020    0.003 /opt/python/botocore/auth.py:355(add_auth)
       12    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:172(headers_to_sign)
       28    0.000    0.000    0.007    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:520(data_received)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:225(parse_headers)
     25/6    0.000    0.000    0.001    0.000 /opt/python/botocore/serialize.py:364(_serialize_type_structure)
       12    0.000    0.000    0.001    0.000 /opt/python/botocore/awsrequest.py:354(_prepare_headers)
       54    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:462(get)
       18    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:210(_encode_invalid_chars)
       41    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/logging/__init__.py:881(handle)
       42    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/encoder.py:182(encode)
       90    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:415(_remove_unsafe_bytes_from_url)
       77    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:736(filter)
       10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:232(__init__)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:661(_process_write_backlog)
       39    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:1672(_add_callback)
       51    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:193(_hostinfo)
      122    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       11    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:176(members)
       12    0.000    0.000    0.058    0.005 /opt/python/aiohttp/connector.py:485(connect)
       63    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:112(_coerce_args)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:120(__init__)
        6    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:880(start)
    20/16    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:28(serialize)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/uuid.py:121(__init__)
       59    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:1356(debug)
        3    0.000    0.000    0.001    0.000 /opt/python/pyasn1/codec/ber/decoder.py:495(_decodeComponents)
       72    0.000    0.000    0.001    0.000 /var/runtime/bootstrap.py:256(write)
       24    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_proto.py:190(data_received)
      422    0.000    0.000    0.000    0.000 /opt/python/pynamodb/models.py:876(<lambda>)
        5    0.000    0.000    0.000    0.000 /opt/python/pynamodb/connection/base.py:243(__init__)
       29    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      125    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:634(time)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1416(__exit__)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/response.py:193(__init__)
        3    0.000    0.000    0.000    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
      276    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/utils.py:51(_has_surrogates)
      452    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      379    0.000    0.000    0.000    0.000 /opt/python/pynamodb/indexes.py:168(<lambda>)
        4    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:819(serialize)
        6    0.000    0.000    0.021    0.004 /opt/python/pynamodb_patch.py:94(_create_prepared_request)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:101(push)
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:618(resolve_shape_ref)
        6    0.000    0.000    0.018    0.003 /opt/python/botocore/auth.py:299(canonical_request)
       16    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/queue.py:121(put)
        6    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:933(_fast_parse_utc_datestring)
      234    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:585(__hash__)
       11    0.000    0.000    0.003    0.000 /opt/python/pynamodb/indexes.py:134(_get_schema)
       14    0.000    0.000    0.556    0.040 /opt/python/config_file.py:62(wrapper)
        3    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/futures.py:371(wrap_future)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:580(from_httplib)
    11/10    0.000    0.000    0.010    0.001 /opt/python/pynamodb/attributes.py:265(_set_defaults)
      166    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'shutdown' of '_ssl._SSLSocket' objects}
        3    0.000    0.000    0.003    0.001 /opt/python/rsa/key.py:483(_load_pkcs1_der)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:247(__init__)
      285    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:121(splitext)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:850(write)
       12    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:364(urlparse)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:480(read)
        6    0.000    0.000    0.001    0.000 /opt/python/yarl/_url.py:145(__new__)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client.py:194(__init__)
       30    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:165(_sign)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:497(get_all)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1158(_importer)
       39    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:139(__init__)
       18    0.000    0.000    0.004    0.000 /var/lang/lib/python3.7/unittest/mock.py:950(_get_child_mock)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/codec/ber/decoder.py:107(valueDecoder)
        6    0.000    0.000    0.016    0.003 /opt/python/aiohttp/resolver.py:28(resolve)
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2072(__init__)
       28    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:95(serialization)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:249(__init__)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/__init__.py:299(loads)
      186    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:299(_get)
        7    0.000    0.000    0.003    0.000 /opt/python/pynamodb_patch.py:148(mock_describe_table)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:486(readinto)
        3    0.000    0.000    0.354    0.118 /opt/python/botocore/signers.py:318(generate_presigned_url)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:207(_read_headers)
       42    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/__init__.py:183(dumps)
        3    0.000    0.000    0.112    0.037 /opt/python/pynamodb/connection/base.py:1187(query)
        6    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/ssl.py:1023(sendall)
       66    0.000    0.000    0.000    0.000 /opt/python/urllib3/_collections.py:155(__getitem__)
        3    0.000    0.000    0.031    0.010 /opt/python/rsa/key.py:156(blind)
       20    0.000    0.000    0.000    0.000 /opt/python/aiohttp/helpers.py:631(__enter__)
        6    0.000    0.000    0.002    0.000 /opt/python/pynamodb_patch.py:120(_patched_convert_to_request_dict)
        5    0.000    0.000    0.001    0.000 /opt/python/pynamodb_patch.py:38(__init__)
        3    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:622(_on_handshake_complete)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/genericpath.py:121(_splitext)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/type/base.py:262(__init__)
        6    0.000    0.000    0.016    0.003 /opt/python/aiohttp/connector.py:806(_resolve_host)
       96    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:614(<genexpr>)
       60    0.000    0.000    0.001    0.000 /opt/python/botocore/utils.py:874(__get__)
       78    0.000    0.000    0.000    0.000 /opt/python/rsa/pem.py:36(_pem_lines)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/type/base.py:351(clone)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1262(get_original)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/_collections.py:140(__init__)
       36    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:1476(makeRecord)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:332(decode)
      134    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
       18    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:1368(info)
       38    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:52(normcase)
       14    0.000    0.000    0.000    0.000 /opt/python/config_file.py:83(_should_update)
       72    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client.py:891(get)
       48    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:245(_is_magic)
      151    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:281(_set_attributes)
      123    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
       47    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/enum.py:531(__new__)
      273    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_proto.py:71(connection_lost)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:723(__init__)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:665(call_at)
        1    0.000    0.000    0.005    0.005 /var/lang/lib/python3.7/ssl.py:813(_create)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:139(__init__)
       28    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:303(<listcomp>)
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:293(header_source_parse)
      110    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client.py:947(close)
       11    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/events.py:154(cancel)
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:434(__init__)
       24    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:564(get_content_type)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/email/parser.py:59(parsestr)
       36    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/logging/__init__.py:1516(handle)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:531(__set_side_effect)
       13    0.000    0.000    0.000    0.000 {built-in method now}
       60    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:78(readline)
       23    0.000    0.000    0.000    0.000 /opt/python/aiohttp/streams.py:235(feed_data)
        6    0.000    0.000    0.000    0.000 /opt/python/pynamodb/connection/base.py:470(_handle_binary_attributes)
        2    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:484(connection_lost)
      100    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
       36    0.000    0.000    0.003    0.000 /var/runtime/bootstrap.py:238(emit)
        9    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:866(create_connection)
        6    0.000    0.000    0.002    0.000 /opt/python/botocore/awsrequest.py:85(_send_request)
        3    0.000    0.000    0.000    0.000 /opt/python/rsa/key.py:171(unblind)
