Wed Jun  1 19:58:28 2022    hell/87ee9e9d-3045-4347-be69-451e25a12ac5.prof

         44700 function calls (44262 primitive calls) in 0.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      226    0.000    0.000    0.003    0.000 /opt/python/pynamodb/connection/util.py:7(pythonic)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:390(__init__)
      452    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/re.py:187(sub)
       45    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/urllib/parse.py:420(urlsplit)
  543/539    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        5    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:497(from_raw_data)
        6    0.000    0.000    0.000    0.000 /opt/python/aiohttp/connector.py:373(_drop_acquired_per_host)
       10    0.000    0.000    0.006    0.001 /opt/python/pynamodb/models.py:864(_get_indexes)
      258    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f457a48c460}
    72/54    0.000    0.000    0.016    0.000 /var/lang/lib/python3.7/unittest/mock.py:594(__getattr__)
       13    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        6    0.000    0.000    0.148    0.025 /opt/python/urllib3/connectionpool.py:499(urlopen)
1117/1111    0.000    0.000    0.000    0.000 {built-in method builtins.len}
    83/82    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.078    0.013 /var/lang/lib/python3.7/http/client.py:279(_read_status)
       54    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1237(putheader)
       18    0.000    0.000    0.001    0.000 /opt/python/botocore/awsrequest.py:600(__init__)
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2040(__new__)
       99    0.000    0.000    0.476    0.005 /var/lang/lib/python3.7/asyncio/events.py:86(_run)
      306    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:281(_sanitize_header)
        6    0.000    0.000    0.151    0.025 /opt/python/botocore/httpsession.py:306(send)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1446(findCaller)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:343(raw_decode)
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:61(__init__)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/hmac.py:33(__init__)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:471(_parse_headers)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:360(getMessage)
        6    0.000    0.000    0.080    0.013 /var/lang/lib/python3.7/http/client.py:312(begin)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:421(format)
        3    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/futures.py:371(wrap_future)
      132    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:393(__setitem__)
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:602(get_shape_by_name)
       36    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
       69    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:557(_process_events)
       36    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:595(format)
       18    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/_collections_abc.py:824(update)
        4    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1080(_serialize)
        3    0.000    0.000    0.541    0.180 /var/lang/lib/python3.7/asyncio/base_events.py:528(run_forever)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/poolmanager.py:74(_default_key_normalizer)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:221(makefile)
  516/486    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       36    0.000    0.000    0.004    0.000 /var/lang/lib/python3.7/logging/__init__.py:1570(callHandlers)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1081(putrequest)
       42    0.000    0.000    0.002    0.000 {built-in method builtins.print}
       36    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/message.py:459(<listcomp>)
       12    0.000    0.000    0.056    0.005 /opt/python/aiohttp/connector.py:977(_create_direct_connection)
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/auth.py:238(canonical_headers)
        7    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:837(_get_schema)
      886    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       55    0.000    0.000    0.078    0.001 {method 'readline' of '_io.BufferedReader' objects}
      507    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:56(attr_name)
       25    0.000    0.000    0.007    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:810(_read_ready__data_received)
        6    0.000    0.000    0.018    0.003 /var/lang/lib/python3.7/http/client.py:1283(_send_request)
     1043    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      164    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       30    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:994(__init__)
        6    0.000    0.000    0.017    0.003 /opt/python/botocore/auth.py:355(add_auth)
       36    0.000    0.000    0.006    0.000 /var/lang/lib/python3.7/logging/__init__.py:1491(_log)
       13    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
     25/6    0.000    0.000    0.017    0.003 /opt/python/botocore/serialize.py:364(_serialize_type_structure)
       24    0.000    0.000    0.016    0.001 /var/lang/lib/python3.7/unittest/mock.py:1900(__init__)
        1    0.000    0.000    0.000    0.000 /opt/python/level_progression/model.py:256(get_season_definition)
       75    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/cookiejar.py:212(filter_cookies)
       65    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:710(_call_soon)
        1    0.000    0.000    0.580    0.580 /opt/python/rewards/reward_redeemer.py:243(redeem_rewards_for_player)
        6    0.000    0.000    0.018    0.003 /opt/python/botocore/serialize.py:334(serialize_to_request)
       79    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/_collections_abc.py:657(get)
        6    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/ssl.py:1023(sendall)
      306    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/_policybase.py:311(header_fetch_parse)
      226    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/re.py:315(filter)
        7    0.000    0.000    0.005    0.001 /opt/python/pynamodb_patch.py:182(_get_connection)
       78    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:607(__getitem__)
       41    0.000    0.000    0.004    0.000 /var/lang/lib/python3.7/logging/__init__.py:881(handle)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/feedparser.py:218(_parsegen)
       38    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/os.py:676(__getitem__)
      234    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:581(__init__)
        1    0.000    0.000    0.784    0.784 /var/task/main_v1.py:25(handle)
       42    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/encoder.py:182(encode)
        3    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_reqrep.py:609(send)
       72    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:64(__set__)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:225(parse_headers)
       79    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1614(isEnabledFor)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:397(create_task)
       36    0.000    0.000    0.000    0.000 {built-in method time.strftime}
      102    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:634(time)
       54    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/unittest/mock.py:1012(__call__)
      286    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:80(_is_map_attribute_class_object)
       90    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:415(_remove_unsafe_bytes_from_url)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:249(__init__)
        6    0.000    0.000    0.213    0.036 /opt/python/pynamodb/connection/base.py:323(dispatch)
       12    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:172(headers_to_sign)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1286(__enter__)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/util/url.py:330(parse_url)
       12    0.000    0.000    0.056    0.005 /opt/python/aiohttp/connector.py:485(connect)
        6    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:880(start)
      276    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/utils.py:51(_has_surrogates)
       77    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:736(filter)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client.py:194(__init__)
       63    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:112(_coerce_args)
       18    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:210(_encode_invalid_chars)
       26    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/__init__.py:299(loads)
       99    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      422    0.000    0.000    0.000    0.000 /opt/python/pynamodb/models.py:876(<lambda>)
       23    0.000    0.000    0.007    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:520(data_received)
        3    0.000    0.000    0.342    0.114 /opt/python/botocore/signers.py:318(generate_presigned_url)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:144(basename)
       34    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:1672(_add_callback)
       51    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:193(_hostinfo)
       59    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/logging/__init__.py:1356(debug)
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       12    0.000    0.000    0.001    0.000 /opt/python/botocore/awsrequest.py:354(_prepare_headers)
       72    0.000    0.000    0.002    0.000 /var/runtime/bootstrap.py:256(write)
        3    0.000    0.000    0.001    0.000 /opt/python/pyasn1/codec/ber/decoder.py:495(_decodeComponents)
        6    0.000    0.000    0.000    0.000 /opt/python/yarl/_url.py:145(__new__)
        6    0.000    0.000    0.018    0.003 /opt/python/pynamodb_patch.py:94(_create_prepared_request)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:661(_process_write_backlog)
      166    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
    20/16    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:28(serialize)
       25    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
        3    0.000    0.000    0.000    0.000 {method 'shutdown' of '_ssl._SSLSocket' objects}
       28    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/typing.py:814(__new__)
       54    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:462(get)
