Wed Jun  1 19:11:00 2022    hell/123.prof

         51934 function calls (51370 primitive calls) in 1.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1375/1366    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      452    0.000    0.000    0.011    0.000 /var/lang/lib/python3.7/re.py:187(sub)
       32    0.000    0.000    0.445    0.014 /opt/python/config_file.py:182(_download_async)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        2    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:697(_call_connection_lost)
      510    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f21dd356d40}
        7    0.000    0.000    0.230    0.033 /opt/python/urllib3/connectionpool.py:499(urlopen)
        5    0.000    0.000    0.002    0.000 /opt/python/pynamodb/models.py:497(from_raw_data)
        7    0.000    0.000    0.145    0.021 /var/lang/lib/python3.7/http/client.py:279(_read_status)
      182    0.000    0.000    0.001    0.000 /opt/python/botocore/awsrequest.py:604(__setitem__)
       10    0.000    0.000    0.014    0.001 /opt/python/pynamodb/models.py:864(_get_indexes)
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2040(__new__)
      349    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:281(_sanitize_header)
       39    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:343(raw_decode)
    72/54    0.000    0.000    0.008    0.000 /var/lang/lib/python3.7/unittest/mock.py:594(__getattr__)
       21    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/_collections_abc.py:824(update)
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1446(findCaller)
        1    0.000    0.000    1.018    1.018 /var/task/main_v1.py:25(handle)
        7    0.000    0.000    0.234    0.033 /opt/python/botocore/httpsession.py:306(send)
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/hmac.py:33(__init__)
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:360(getMessage)
       85    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/events.py:39(__init__)
      146    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:393(__setitem__)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:471(_parse_headers)
  146/136    0.000    0.000    0.014    0.000 /opt/python/botocore/utils.py:874(__get__)
    89/88    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1233    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       69    0.000    0.000    0.145    0.002 {method 'readline' of '_io.BufferedReader' objects}
      108    0.000    0.000    0.458    0.004 /var/lang/lib/python3.7/asyncio/events.py:86(_run)
      104    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:607(__getitem__)
        7    0.000    0.000    0.000    0.000 /opt/python/urllib3/poolmanager.py:74(_default_key_normalizer)
        7    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/http/client.py:1081(putrequest)
       21    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:210(_encode_invalid_chars)
       28    0.000    0.000    0.000    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:221(makefile)
       14    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/feedparser.py:218(_parsegen)
       76    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:557(_process_events)
      163    0.000    0.000    0.013    0.000 /opt/python/botocore/model.py:618(resolve_shape_ref)
    118/7    0.000    0.000    0.013    0.002 /opt/python/botocore/serialize.py:359(_serialize)
       82    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/encoder.py:182(encode)
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:421(format)
        4    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1080(_serialize)
      286    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:581(__init__)
        7    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:1283(_send_request)
       35    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
       30    0.000    0.000    0.008    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:810(_read_ready__data_received)
        7    0.000    0.000    0.148    0.021 /var/lang/lib/python3.7/http/client.py:312(begin)
      226    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/re.py:315(filter)
       42    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/message.py:459(<listcomp>)
       35    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:595(format)
        7    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:238(canonical_headers)
