Wed Jun  1 19:58:30 2022    hell/e22a8422-eacf-40b9-9d93-cc9ca8f614b4.prof

         58324 function calls (57579 primitive calls) in 1.009 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/http/client.py:454(read)
  668/665    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        7    0.000    0.000    0.233    0.033 /opt/python/urllib3/connectionpool.py:499(urlopen)
      184    0.000    0.000    0.001    0.000 /opt/python/botocore/awsrequest.py:604(__setitem__)
       46    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
       36    0.000    0.000    0.000    0.000 /opt/python/aws_xray_sdk/core/models/trace_header.py:41(from_header_str)
      130    0.000    0.000    0.001    0.000 /opt/python/botocore/awsrequest.py:607(__getitem__)
       17    0.000    0.000    0.001    0.000 {method 'feed_data' of 'aiohttp._http_parser.HttpParser' objects}
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/hmac.py:33(__init__)
        7    0.000    0.000    0.137    0.020 /var/lang/lib/python3.7/http/client.py:279(_read_status)
        7    0.000    0.000    0.231    0.033 /opt/python/urllib3/connectionpool.py:356(_make_request)
    193/7    0.000    0.000    0.010    0.001 /opt/python/botocore/serialize.py:359(_serialize)
        3    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
       80    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/os.py:676(__getitem__)
       50    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/urllib/parse.py:420(urlsplit)
        5    0.000    0.000    0.002    0.000 /opt/python/pynamodb/models.py:497(from_raw_data)
       46    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:421(format)
        3    0.000    0.000    0.014    0.005 /var/lang/lib/python3.7/threading.py:834(start)
       46    0.000    0.000    0.019    0.000 /var/lang/lib/python3.7/logging/__init__.py:1570(callHandlers)
1322/1317    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      314    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:581(__init__)
       12    0.000    0.000    0.005    0.000 /opt/python/pynamodb/models.py:864(_get_indexes)
       21    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/_collections_abc.py:824(update)
      352    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:281(_sanitize_header)
       46    0.000    0.000    0.022    0.000 /var/lang/lib/python3.7/logging/__init__.py:1491(_log)
        7    0.000    0.000    0.237    0.034 /opt/python/botocore/httpsession.py:306(send)
       36    0.000    0.000    0.001    0.000 /opt/python/aws_xray_sdk/core/lambda_launcher.py:88(_refresh_context)
    72/54    0.000    0.000    0.005    0.000 /var/lang/lib/python3.7/unittest/mock.py:594(__getattr__)
       15    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:157(feed_ssldata)
        9    0.000    0.000    0.002    0.000 /opt/python/pynamodb/models.py:837(_get_schema)
      242    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      194    0.000    0.000    0.003    0.000 /opt/python/pynamodb/models.py:1111(_serialize_value)
      148    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:393(__setitem__)
       46    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:595(format)
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2040(__new__)
